date,metadata__deviceType,metadata__studentId,metadata__uid,telemetry__windSpeed,telemetry_windDirection,telemetry_pressure,telemetry_humidity,telemetry_temperature,EventProcessedUtcTime,PartitionId,EventEnqueuedUtcTime,IoTHub__MessageId,IoTHub__CorrelationId,IoTHub__ConnectionDeviceId,IoTHub__ConnectionDeviceGenerationId,IoTHub__EnqueuedTime,IoTHub__StreamId
2019-04-30T23:01:46.9945602Z,WeatherStation,3395ED69,5F563667634B53,5.3,NORTH-EAST,997.7,31.9,29.79999,2019-04-30T23:01:46.9945602Z,3,2019-04-30T23:01:46.2730000Z,null,null,CWF-MX-001,6.37E+17,2019-04-30T23:01:46.2510000Z,null
2019-04-30T23:01:47.1475424Z,WeatherStation,3395ED69,AE526B5C2210E652,5.3,NORTH-EAST,997.7,31.9,29.79999,2019-04-30T23:01:47.1475424Z,3,2019-04-30T23:01:46.8670000Z,null,null,CWF-MX-001,6.37E+17,2019-04-30T23:01:46.5920000Z,null
2019-04-30T23:01:47.2645272Z,WeatherStation,3395ED69,E530FAB0AA6E5DC7,5.3,NORTH-EAST,997.7,31.9,29.79999,2019-04-30T23:01:47.2645272Z,0,2019-04-30T23:01:46.9280000Z,null,null,CWF-MX-001,6.37E+17,2019-04-30T23:01:46.9390000Z,null
2019-04-30T23:01:47.2645272Z,WeatherStation,3395ED69,8D7C3CEC2B87F6E0,5.3,NORTH-EAST,997.7,31.9,29.79999,2019-04-30T23:01:47.2645272Z,0,2019-04-30T23:01:47.1780000Z,null,null,CWF-MX-001,6.37E+17,2019-04-30T23:01:46.9740000Z,null
2019-04-30T23:01:47.3665787Z,WeatherStation,3395ED69,A1B70FA9ED582D7D,5.3,NORTH-EAST,997.7,31.9,29.79999,2019-04-30T23:01:47.3665787Z,0,2019-04-30T23:01:47.2400000Z,null,null,CWF-MX-001,6.37E+17,2019-04-30T23:01:47.2510000Z,null
2019-04-30T23:01:47.3665787Z,WeatherStation,3395ED69,B1FC8C90C710ADD0,5.3,NORTH-EAST,997.7,31.9,29.79999,2019-04-30T23:01:47.3665787Z,0,2019-04-30T23:01:47.2720000Z,null,null,CWF-MX-001,6.37E+17,2019-04-30T23:01:47.2710000Z,null
2019-04-30T23:01:47.8745461Z,WeatherStation,3395ED69,F2574B1493004F78,5.3,NORTH-EAST,997.7,31.9,29.79999,2019-04-30T23:01:47.8745461Z,1,2019-04-30T23:01:47.3130000Z,null,null,CWF-MX-001,6.37E+17,2019-04-30T23:01:47.3140000Z,null
2019-04-30T23:01:47.8745461Z,WeatherStation,3395ED69,674FA68D06717612,5.3,NORTH-EAST,997.7,31.9,29.79999,2019-04-30T23:01:47.8745461Z,1,2019-04-30T23:01:47.7660000Z,null,null,CWF-MX-001,6.37E+17,2019-04-30T23:01:47.3180000Z,null
2019-04-30T23:01:47.8745461Z,WeatherStation,3395ED69,A8E7EB69860B7CD3,5.3,NORTH-EAST,997.7,31.9,29.79999,2019-04-30T23:01:47.8745461Z,0,2019-04-30T23:01:47.8340000Z,null,null,CWF-MX-001,6.37E+17,2019-04-30T23:01:47.8450000Z,null
2019-04-30T23:01:47.9765529Z,WeatherStation,3395ED69,771CBD5BC2053EED,5.3,NORTH-EAST,997.7,31.9,29.79999,2019-04-30T23:01:47.9765529Z,0,2019-04-30T23:01:47.8650000Z,null,null,CWF-MX-001,6.37E+17,2019-04-30T23:01:47.8490000Z,null
2019-04-30T23:01:47.9765529Z,WeatherStation,3395ED69,9F5E38598EE95F6,5.3,NORTH-EAST,997.7,31.9,29.79999,2019-04-30T23:01:47.9765529Z,1,2019-04-30T23:01:47.9070000Z,null,null,CWF-MX-001,6.37E+17,2019-04-30T23:01:47.9230000Z,null
2019-04-30T23:01:47.9765529Z,WeatherStation,3395ED69,BD3BBAC93082CB5C,5.3,NORTH-EAST,997.7,31.9,29.79999,2019-04-30T23:01:47.9765529Z,1,2019-04-30T23:01:47.9380000Z,null,null,CWF-MX-001,6.37E+17,2019-04-30T23:01:47.9270000Z,null
2019-04-30T23:01:48.0787078Z,WeatherStation,3395ED69,55A75CAA1668A613,5.3,NORTH-EAST,997.7,31.9,29.79999,2019-04-30T23:01:48.0787078Z,1,2019-04-30T23:01:47.9690000Z,null,null,CWF-MX-001,6.37E+17,2019-04-30T23:01:47.9850000Z,null
2019-04-30T23:01:48.0787078Z,WeatherStation,3395ED69,CF2BB717115958A1,5.3,NORTH-EAST,997.7,31.9,29.79999,2019-04-30T23:01:48.0787078Z,1,2019-04-30T23:01:48.0000000Z,null,null,CWF-MX-001,6.37E+17,2019-04-30T23:01:47.9900000Z,null
2019-04-30T23:01:48.0787078Z,WeatherStation,3395ED69,420F4A3F2B1F5343,5.3,NORTH-EAST,997.7,31.9,29.79999,2019-04-30T23:01:48.0787078Z,3,2019-04-30T23:01:48.0390000Z,null,null,CWF-MX-001,6.37E+17,2019-04-30T23:01:48.0320000Z,null
